week,hour,day,day_type,southbound,northbound
3,17,Wed,weekday,4503,5426
3,18,Wed,weekday,4124,5300
3,19,Wed,weekday,4054,4221
3,20,Wed,weekday,2464,2352
3,21,Wed,weekday,1920,1733
3,22,Wed,weekday,1391,1175
3,23,Wed,weekday,1028,749
3,0,Thurs,weekday,772,569
3,1,Thurs,weekday,686,297
3,2,Thurs,weekday,439,330
3,3,Thurs,weekday,302,520
3,4,Thurs,weekday,534,1007
3,5,Thurs,weekday,1363,1631
3,6,Thurs,weekday,5234,3881
3,7,Thurs,weekday,5852,5853
3,8,Thurs,weekday,5297,5580
3,9,Thurs,weekday,5148,5218
3,10,Thurs,weekday,5286,5156
3,11,Thurs,weekday,4851,5332
3,12,Thurs,weekday,5167,5110
3,13,Thurs,weekday,5265,5428
3,14,Thurs,weekday,5320,5653
3,15,Thurs,weekday,5710,3203
3,16,Thurs,weekday,5663,5087
3,17,Thurs,weekday,5691,5579
3,18,Thurs,weekday,5154,5387
3,19,Thurs,weekday,3769,5366
3,20,Thurs,weekday,2766,2733
3,21,Thurs,weekday,2057,1922
3,22,Thurs,weekday,1563,1310
3,23,Thurs,weekday,1395,833
3,0,Fri,weekday,841,631
3,1,Fri,weekday,771,362
3,2,Fri,weekday,426,341
3,3,Fri,weekday,328,634
3,4,Fri,weekday,624,1111
3,5,Fri,weekday,1399,1655
3,6,Fri,weekday,5144,3732
3,7,Fri,weekday,5762,5772
3,8,Fri,weekday,5281,5694
3,9,Fri,weekday,5012,4860
3,10,Fri,weekday,4821,5070
3,11,Fri,weekday,5204,4958
3,12,Fri,weekday,5255,4981
3,13,Fri,weekday,5383,4865
3,14,Fri,weekday,5313,4706
3,15,Fri,weekday,5336,5072
3,16,Fri,weekday,5364,5293
3,17,Fri,weekday,4688,5139
3,18,Fri,weekday,4063,4760
3,19,Fri,weekday,3431,3744
3,20,Fri,weekday,2635,2471
3,21,Fri,weekday,1972,1656
3,22,Fri,weekday,1490,1367
3,23,Fri,weekday,1301,983
3,0,Sat,weekend,1142,637
3,1,Sat,weekend,600,471
3,2,Sat,weekend,594,432
3,3,Sat,weekend,410,626
3,4,Sat,weekend,497,833
3,5,Sat,weekend,733,1175
3,6,Sat,weekend,1556,1507
3,7,Sat,weekend,2167,2371
3,8,Sat,weekend,2863,3089
3,9,Sat,weekend,3886,4104
3,10,Sat,weekend,4474,4428
3,11,Sat,weekend,5273,5075
3,12,Sat,weekend,5503,5503
3,13,Sat,weekend,5598,5749
3,14,Sat,weekend,5453,5491
3,15,Sat,weekend,5116,4848
3,16,Sat,weekend,4913,4698
3,17,Sat,weekend,4729,4464
3,18,Sat,weekend,4306,4173
3,19,Sat,weekend,3322,3121
3,20,Sat,weekend,2197,2033
3,21,Sat,weekend,1699,1410
3,22,Sat,weekend,1614,1331
3,23,Sat,weekend,1396,1054
3,0,Sun,weekend,995,725
3,1,Sun,weekend,776,492
3,2,Sun,weekend,474,358
3,3,Sun,weekend,260,433
3,4,Sun,weekend,325,729
3,5,Sun,weekend,509,748
3,6,Sun,weekend,797,999
3,7,Sun,weekend,1071,1458
3,8,Sun,weekend,1578,1737
3,9,Sun,weekend,2595,2786
3,10,Sun,weekend,3504,3686
3,11,Sun,weekend,4361,4483
3,12,Sun,weekend,5403,5283
3,13,Sun,weekend,5423,5762
3,14,Sun,weekend,5281,5669
3,15,Sun,weekend,5287,5107
3,16,Sun,weekend,5143,4759
3,17,Sun,weekend,5010,4760
3,18,Sun,weekend,5105,4544
3,19,Sun,weekend,3843,3745
3,20,Sun,weekend,2715,2764
3,21,Sun,weekend,1862,1806
3,22,Sun,weekend,1412,1335
3,23,Sun,weekend,1232,765
4,0,Mon,weekday,913,456
4,1,Mon,weekday,532,271
4,2,Mon,weekday,392,288
4,3,Mon,weekday,328,550
4,4,Mon,weekday,570,1067
4,5,Mon,weekday,1627,1558
4,6,Mon,weekday,5364,3722
4,7,Mon,weekday,5842,5306
4,8,Mon,weekday,5966,5829
4,9,Mon,weekday,4834,5500
4,10,Mon,weekday,4949,4805
4,11,Mon,weekday,4717,4652
4,12,Mon,weekday,4687,4816
4,13,Mon,weekday,5053,5085
4,14,Mon,weekday,4982,5155
4,15,Mon,weekday,5796,5968
4,16,Mon,weekday,5787,5792
4,17,Mon,weekday,5474,5877
4,18,Mon,weekday,4625,5116
4,19,Mon,weekday,3120,3266
4,20,Mon,weekday,2467,2094
4,21,Mon,weekday,1889,1475
4,22,Mon,weekday,1246,1066
4,23,Mon,weekday,842,753
4,0,Tues,weekday,870,512
4,1,Tues,weekday,609,265
4,2,Tues,weekday,364,262
4,3,Tues,weekday,305,480
4,4,Tues,weekday,581,958
4,5,Tues,weekday,1407,1586
4,6,Tues,weekday,5438,3945
4,7,Tues,weekday,5574,5987
4,8,Tues,weekday,5509,5712
4,9,Tues,weekday,5565,5604
4,10,Tues,weekday,5276,5079
4,11,Tues,weekday,4930,5108
4,12,Tues,weekday,4842,5085
4,13,Tues,weekday,5093,5214
4,14,Tues,weekday,3404,5260
4,15,Tues,weekday,5850,5840
4,16,Tues,weekday,5965,6136
4,17,Tues,weekday,5396,6128
4,18,Tues,weekday,5066,5682
4,19,Tues,weekday,3763,3844
4,20,Tues,weekday,2433,2436
4,21,Tues,weekday,1920,1652
4,22,Tues,weekday,1418,1328
4,23,Tues,weekday,1171,778
4,0,Wed,weekday,702,522
4,1,Wed,weekday,596,325
4,2,Wed,weekday,434,268
4,3,Wed,weekday,326,519
4,4,Wed,weekday,585,1039
4,5,Wed,weekday,1427,1618
4,6,Wed,weekday,5336,3913
4,7,Wed,weekday,4700,5932
4,8,Wed,weekday,4374,5718
4,9,Wed,weekday,5629,5756
4,10,Wed,weekday,5777,5293
4,11,Wed,weekday,5065,4984
4,12,Wed,weekday,4857,5156
4,13,Wed,weekday,5395,5394
4,14,Wed,weekday,5375,5690
4,15,Wed,weekday,6287,6284
4,16,Wed,weekday,6511,6100
4,17,Wed,weekday,5932,6124
4,18,Wed,weekday,4902,5860
4,19,Wed,weekday,3644,4551
4,20,Wed,weekday,2525,2463
4,21,Wed,weekday,2107,1927
4,22,Wed,weekday,1540,1207
4,23,Wed,weekday,1032,823
4,0,Thurs,weekday,791,583
4,1,Thurs,weekday,663,308
4,2,Thurs,weekday,544,344
4,3,Thurs,weekday,320,612
4,4,Thurs,weekday,603,1110
4,5,Thurs,weekday,1517,1677
4,6,Thurs,weekday,5336,3933
4,7,Thurs,weekday,5777,5880
4,8,Thurs,weekday,6029,5938
4,9,Thurs,weekday,5765,5658
4,10,Thurs,weekday,4910,5501
4,11,Thurs,weekday,5063,5130
4,12,Thurs,weekday,5494,5281
4,13,Thurs,weekday,5433,5543
4,14,Thurs,weekday,5697,5989
4,15,Thurs,weekday,6338,5682
4,16,Thurs,weekday,6327,6041
4,17,Thurs,weekday,5822,5984
4,18,Thurs,weekday,4382,5642
4,19,Thurs,weekday,3454,4890
4,20,Thurs,weekday,3040,2689
4,21,Thurs,weekday,2315,2009
4,22,Thurs,weekday,1769,1504
4,23,Thurs,weekday,1328,952
4,0,Fri,weekday,1020,653
4,1,Fri,weekday,724,362
4,2,Fri,weekday,438,358
4,3,Fri,weekday,379,730
4,4,Fri,weekday,676,1270
4,5,Fri,weekday,1481,1741
4,6,Fri,weekday,4985,3744
4,7,Fri,weekday,5979,5884
4,8,Fri,weekday,5066,5491
4,9,Fri,weekday,4964,4854
4,10,Fri,weekday,4903,4948
4,11,Fri,weekday,4632,5379
4,12,Fri,weekday,5047,5866
4,13,Fri,weekday,4422,5679
4,14,Fri,weekday,4342,5855
4,15,Fri,weekday,5589,5984
4,16,Fri,weekday,5517,5809
